budget,horizon,threshold,precision,recall,f1,n_positive_preds,n_samples,auc,pred_min,pred_max
2M,1,0.1,0.34328358208955223,0.6052631578947368,0.4380952380952381,134,422,0.7068375418314572,0.02927627,0.62828195
2M,1,0.2,0.3902439024390244,0.42105263157894735,0.4050632911392405,82,422,0.7068375418314572,0.02927627,0.62828195
2M,1,0.3,0.3333333333333333,0.2631578947368421,0.29411764705882354,60,422,0.7068375418314572,0.02927627,0.62828195
2M,1,0.4,0.34210526315789475,0.17105263157894737,0.22807017543859648,38,422,0.7068375418314572,0.02927627,0.62828195
2M,1,0.5,0.5333333333333333,0.10526315789473684,0.17582417582417584,15,422,0.7068375418314572,0.02927627,0.62828195
2M,1,0.6,1.0,0.02631578947368421,0.05128205128205128,2,422,0.7068375418314572,0.02927627,0.62828195
2M,1,0.7,0.0,0.0,0.0,0,422,0.7068375418314572,0.02927627,0.62828195
2M,1,0.8,0.0,0.0,0.0,0,422,0.7068375418314572,0.02927627,0.62828195
2M,2,0.1,0.3384615384615385,0.9361702127659575,0.4971751412429379,390,421,0.6396909827760892,0.07970997,0.687488
2M,2,0.2,0.453551912568306,0.5886524822695035,0.5123456790123457,183,421,0.6396909827760892,0.07970997,0.687488
2M,2,0.3,0.5089285714285714,0.40425531914893614,0.4505928853754941,112,421,0.6396909827760892,0.07970997,0.687488
2M,2,0.4,0.5256410256410257,0.2907801418439716,0.3744292237442922,78,421,0.6396909827760892,0.07970997,0.687488
2M,2,0.5,0.5,0.15602836879432624,0.23783783783783785,44,421,0.6396909827760892,0.07970997,0.687488
2M,2,0.6,0.5789473684210527,0.07801418439716312,0.1375,19,421,0.6396909827760892,0.07970997,0.687488
2M,2,0.7,0.0,0.0,0.0,0,421,0.6396909827760892,0.07970997,0.687488
2M,2,0.8,0.0,0.0,0.0,0,421,0.6396909827760892,0.07970997,0.687488
2M,3,0.1,0.4523809523809524,1.0,0.6229508196721312,420,420,0.6209153318077802,0.14712168,0.7994081
2M,3,0.2,0.45576407506702415,0.8947368421052632,0.6039076376554174,373,420,0.6209153318077802,0.14712168,0.7994081
2M,3,0.3,0.5566037735849056,0.6210526315789474,0.5870646766169154,212,420,0.6209153318077802,0.14712168,0.7994081
2M,3,0.4,0.5748031496062992,0.38421052631578945,0.4605678233438486,127,420,0.6209153318077802,0.14712168,0.7994081
2M,3,0.5,0.6091954022988506,0.2789473684210526,0.38267148014440433,87,420,0.6209153318077802,0.14712168,0.7994081
2M,3,0.6,0.6666666666666666,0.2,0.3076923076923077,57,420,0.6209153318077802,0.14712168,0.7994081
2M,3,0.7,0.5217391304347826,0.06315789473684211,0.11267605633802817,23,420,0.6209153318077802,0.14712168,0.7994081
2M,3,0.8,0.0,0.0,0.0,0,420,0.6209153318077802,0.14712168,0.7994081
2M,5,0.1,0.6004784688995215,1.0,0.750373692077728,418,418,0.608702912899301,0.22642726,0.90004396
2M,5,0.2,0.6004784688995215,1.0,0.750373692077728,418,418,0.608702912899301,0.22642726,0.90004396
2M,5,0.3,0.6147959183673469,0.9601593625498008,0.749611197511664,392,418,0.608702912899301,0.22642726,0.90004396
2M,5,0.4,0.6768060836501901,0.7091633466135459,0.6926070038910506,263,418,0.608702912899301,0.22642726,0.90004396
2M,5,0.5,0.6573426573426573,0.3745019920318725,0.47715736040609136,143,418,0.608702912899301,0.22642726,0.90004396
2M,5,0.6,0.6777777777777778,0.24302788844621515,0.35777126099706746,90,418,0.608702912899301,0.22642726,0.90004396
2M,5,0.7,0.7142857142857143,0.1394422310756972,0.23333333333333334,49,418,0.608702912899301,0.22642726,0.90004396
2M,5,0.8,0.7272727272727273,0.06374501992031872,0.11721611721611722,22,418,0.608702912899301,0.22642726,0.90004396
20M,1,0.1,0.39215686274509803,0.5263157894736842,0.449438202247191,102,422,0.7166108913903255,0.01697965,0.5079975
20M,1,0.2,0.32727272727272727,0.23684210526315788,0.2748091603053435,55,422,0.7166108913903255,0.01697965,0.5079975
20M,1,0.3,0.44,0.14473684210526316,0.21782178217821782,25,422,0.7166108913903255,0.01697965,0.5079975
20M,1,0.4,0.5,0.06578947368421052,0.11627906976744186,10,422,0.7166108913903255,0.01697965,0.5079975
20M,1,0.5,1.0,0.013157894736842105,0.025974025974025976,1,422,0.7166108913903255,0.01697965,0.5079975
20M,1,0.6,0.0,0.0,0.0,0,422,0.7166108913903255,0.01697965,0.5079975
20M,1,0.7,0.0,0.0,0.0,0,422,0.7166108913903255,0.01697965,0.5079975
20M,1,0.8,0.0,0.0,0.0,0,422,0.7166108913903255,0.01697965,0.5079975
20M,2,0.1,0.334916864608076,1.0,0.501779359430605,421,421,0.6392097264437689,0.107283175,0.66988575
20M,2,0.2,0.38461538461538464,0.7801418439716312,0.5152224824355972,286,421,0.6392097264437689,0.107283175,0.66988575
20M,2,0.3,0.4647058823529412,0.5602836879432624,0.5080385852090032,170,421,0.6392097264437689,0.107283175,0.66988575
20M,2,0.4,0.5188679245283019,0.3900709219858156,0.44534412955465585,106,421,0.6392097264437689,0.107283175,0.66988575
20M,2,0.5,0.5192307692307693,0.19148936170212766,0.27979274611398963,52,421,0.6392097264437689,0.107283175,0.66988575
20M,2,0.6,0.5555555555555556,0.07092198581560284,0.12578616352201258,18,421,0.6392097264437689,0.107283175,0.66988575
20M,2,0.7,0.0,0.0,0.0,0,421,0.6392097264437689,0.107283175,0.66988575
20M,2,0.8,0.0,0.0,0.0,0,421,0.6392097264437689,0.107283175,0.66988575
20M,3,0.1,0.4523809523809524,1.0,0.6229508196721312,420,420,0.6184439359267734,0.15666789,0.7418138
20M,3,0.2,0.45866666666666667,0.9052631578947369,0.6088495575221239,375,420,0.6184439359267734,0.15666789,0.7418138
20M,3,0.3,0.5607476635514018,0.631578947368421,0.594059405940594,214,420,0.6184439359267734,0.15666789,0.7418138
20M,3,0.4,0.5689655172413793,0.3473684210526316,0.43137254901960786,116,420,0.6184439359267734,0.15666789,0.7418138
20M,3,0.5,0.618421052631579,0.24736842105263157,0.3533834586466165,76,420,0.6184439359267734,0.15666789,0.7418138
20M,3,0.6,0.6486486486486487,0.12631578947368421,0.21145374449339208,37,420,0.6184439359267734,0.15666789,0.7418138
20M,3,0.7,0.5714285714285714,0.021052631578947368,0.04060913705583756,7,420,0.6184439359267734,0.15666789,0.7418138
20M,3,0.8,0.0,0.0,0.0,0,420,0.6184439359267734,0.15666789,0.7418138
20M,5,0.1,0.6004784688995215,1.0,0.750373692077728,418,418,0.5994942386144047,0.42644867,0.86977804
20M,5,0.2,0.6004784688995215,1.0,0.750373692077728,418,418,0.5994942386144047,0.42644867,0.86977804
20M,5,0.3,0.6004784688995215,1.0,0.750373692077728,418,418,0.5994942386144047,0.42644867,0.86977804
20M,5,0.4,0.6004784688995215,1.0,0.750373692077728,418,418,0.5994942386144047,0.42644867,0.86977804
20M,5,0.5,0.6051282051282051,0.9402390438247012,0.7363494539781591,390,418,0.5994942386144047,0.42644867,0.86977804
20M,5,0.6,0.6784313725490196,0.6892430278884463,0.6837944664031621,255,418,0.5994942386144047,0.42644867,0.86977804
20M,5,0.7,0.6851851851851852,0.2948207171314741,0.41225626740947074,108,418,0.5994942386144047,0.42644867,0.86977804
20M,5,0.8,0.717948717948718,0.11155378486055777,0.19310344827586207,39,418,0.5994942386144047,0.42644867,0.86977804
200M,1,0.1,0.2937853107344633,0.6842105263157895,0.41106719367588934,177,422,0.7237982963188317,0.02086617,0.7967116
200M,1,0.2,0.3917525773195876,0.5,0.4393063583815029,97,422,0.7237982963188317,0.02086617,0.7967116
200M,1,0.3,0.37142857142857144,0.34210526315789475,0.3561643835616438,70,422,0.7237982963188317,0.02086617,0.7967116
200M,1,0.4,0.3541666666666667,0.2236842105263158,0.27419354838709675,48,422,0.7237982963188317,0.02086617,0.7967116
200M,1,0.5,0.3888888888888889,0.18421052631578946,0.25,36,422,0.7237982963188317,0.02086617,0.7967116
200M,1,0.6,0.5,0.13157894736842105,0.20833333333333334,20,422,0.7237982963188317,0.02086617,0.7967116
200M,1,0.7,0.75,0.07894736842105263,0.14285714285714285,8,422,0.7237982963188317,0.02086617,0.7967116
200M,1,0.8,0.0,0.0,0.0,0,422,0.7237982963188317,0.02086617,0.7967116
200M,2,0.1,0.334916864608076,1.0,0.501779359430605,421,421,0.6416666666666666,0.109493464,0.7379215
200M,2,0.2,0.3630573248407643,0.8085106382978723,0.5010989010989011,314,421,0.6416666666666666,0.109493464,0.7379215
200M,2,0.3,0.4583333333333333,0.624113475177305,0.5285285285285285,192,421,0.6416666666666666,0.109493464,0.7379215
200M,2,0.4,0.5454545454545454,0.425531914893617,0.47808764940239046,110,421,0.6416666666666666,0.109493464,0.7379215
200M,2,0.5,0.5151515151515151,0.24113475177304963,0.3285024154589372,66,421,0.6416666666666666,0.109493464,0.7379215
200M,2,0.6,0.53125,0.12056737588652482,0.19653179190751446,32,421,0.6416666666666666,0.109493464,0.7379215
200M,2,0.7,0.5714285714285714,0.028368794326241134,0.05405405405405406,7,421,0.6416666666666666,0.109493464,0.7379215
200M,2,0.8,0.0,0.0,0.0,0,421,0.6416666666666666,0.109493464,0.7379215
200M,3,0.1,0.4523809523809524,1.0,0.6229508196721312,420,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.2,0.4523809523809524,1.0,0.6229508196721312,420,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.3,0.4811594202898551,0.8736842105263158,0.6205607476635514,345,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.4,0.5560538116591929,0.6526315789473685,0.6004842615012107,223,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.5,0.5737704918032787,0.3684210526315789,0.44871794871794873,122,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.6,0.6133333333333333,0.24210526315789474,0.3471698113207547,75,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.7,0.5882352941176471,0.10526315789473684,0.17857142857142858,34,420,0.6309382151029748,0.20519303,0.8500959
200M,3,0.8,0.7272727272727273,0.042105263157894736,0.07960199004975124,11,420,0.6309382151029748,0.20519303,0.8500959
200M,5,0.1,0.6004784688995215,1.0,0.750373692077728,418,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.2,0.6004784688995215,1.0,0.750373692077728,418,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.3,0.5995085995085995,0.9721115537848606,0.7416413373860182,407,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.4,0.6578073089700996,0.7888446215139442,0.717391304347826,301,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.5,0.6835443037974683,0.4302788844621514,0.5281173594132029,158,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.6,0.7,0.1952191235059761,0.3052959501557632,70,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.7,0.75,0.09561752988047809,0.1696113074204947,32,418,0.6126154066369254,0.26248652,0.8683187
200M,5,0.8,0.7777777777777778,0.027888446215139442,0.05384615384615385,9,418,0.6126154066369254,0.26248652,0.8683187
